Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
14,Wed,11/9/2022,20:45 (22:45),Torino,0.5,2–0,0.5,Sampdoria,"15,593",Stadio Olimpico di Torino,Davide Massa,Match Report,
14,Wed,11/9/2022,20:45 (22:45),Inter,2.6,6–1,0.7,Bologna,"69,312",Stadio Giuseppe Meazza,Andrea Colombo,Match Report,
14,Thu,11/10/2022,18:30 (20:30),Hellas Verona,1.2,0–1,1.1,Juventus,"21,934",Stadio Marc'Antonio Bentegodi,Marco Di Bello,Match Report,
14,Thu,11/10/2022,20:45 (22:45),Lazio,1.5,1–0,0.5,Monza,"36,000",Stadio Olimpico,Alberto Santoro,Match Report,
,,,,,,,,,,,,,
15,Fri,11/11/2022,20:45 (22:45),Empoli,2.2,2–0,1.3,Cremonese,"8,077",Stadio Carlo Castellani,Federico Dionisi,Match Report,
15,Sat,11/12/2022,15:00 (17:00),Napoli,1.5,3–2,0.7,Udinese,"51,000",Stadio Diego Armando Maradona,Giovanni Ayroldi,Match Report,
15,Sat,11/12/2022,18:00 (20:00),Sampdoria,0.7,0–2,0.6,Lecce,"20,211",Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
15,Sat,11/12/2022,20:45 (22:45),Bologna,0.8,3–0,0.8,Sassuolo,"20,811",Stadio Renato Dall'Ara,Ivan Pezzuto,Match Report,
15,Sun,11/13/2022,12:30 (14:30),Atalanta,1.8,2–3,2.2,Inter,"19,353",Stadio Atleti Azzurri d'Italia,Daniele Chiffi,Match Report,
15,Sun,11/13/2022,15:00 (17:00),Roma,1.7,1–1,0.9,Torino,"61,168",Stadio Olimpico,Antonio Rapuano,Match Report,
15,Sun,11/13/2022,15:00 (17:00),Monza,2.4,3–0,0.2,Salernitana,"12,372",U-Power Stadium,Antonio Giua,Match Report,
15,Sun,11/13/2022,15:00 (17:00),Hellas Verona,2.1,1–2,0.8,Spezia,"18,000",Stadio Marc'Antonio Bentegodi,Fabio Maresca,Match Report,
15,Sun,11/13/2022,18:00 (20:00),Milan,1.5,2–1,0.5,Fiorentina,"73,007",Stadio Giuseppe Meazza,Simone Sozza,Match Report,
15,Sun,11/13/2022,20:45 (22:45),Juventus,1.6,3–0,0.4,Lazio,"38,729",Allianz Stadium,Davide Massa,Match Report,
,,,,,,,,,,,,,
16,Wed,1/4/2023,12:30 (14:30),Sassuolo,,,,Sampdoria,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
16,Wed,1/4/2023,12:30 (14:30),Salernitana,,,,Milan,,Stadio Arechi,,Head-to-Head,
16,Wed,1/4/2023,14:30 (16:30),Spezia,,,,Atalanta,,Stadio Alberto Picco,,Head-to-Head,
16,Wed,1/4/2023,14:30 (16:30),Torino,,,,Hellas Verona,,Stadio Olimpico di Torino,,Head-to-Head,
16,Wed,1/4/2023,16:30 (18:30),Roma,,,,Bologna,,Stadio Olimpico,,Head-to-Head,
16,Wed,1/4/2023,16:30 (18:30),Lecce,,,,Lazio,,Stadio Comunale Via Del Mare,,Head-to-Head,
16,Wed,1/4/2023,18:30 (20:30),Fiorentina,,,,Monza,,Stadio Artemio Franchi,,Head-to-Head,
16,Wed,1/4/2023,18:30 (20:30),Cremonese,,,,Juventus,,Stadio Giovanni Zini,,Head-to-Head,
16,Wed,1/4/2023,20:45 (22:45),Inter,,,,Napoli,,Stadio Giuseppe Meazza,,Head-to-Head,
16,Wed,1/4/2023,20:45 (22:45),Udinese,,,,Empoli,,Dacia Arena,,Head-to-Head,
,,,,,,,,,,,,,
17,Sat,1/7/2023,15:00 (17:00),Fiorentina,,,,Sassuolo,,Stadio Artemio Franchi,,Head-to-Head,
17,Sat,1/7/2023,18:00 (20:00),Juventus,,,,Udinese,,Allianz Stadium,,Head-to-Head,
17,Sat,1/7/2023,20:45 (22:45),Monza,,,,Inter,,U-Power Stadium,,Head-to-Head,
17,Sun,1/8/2023,12:30 (14:30),Salernitana,,,,Torino,,Stadio Arechi,,Head-to-Head,
17,Sun,1/8/2023,15:00 (17:00),Spezia,,,,Lecce,,Stadio Alberto Picco,,Head-to-Head,
17,Sun,1/8/2023,15:00 (17:00),Lazio,,,,Empoli,,Stadio Olimpico,,Head-to-Head,
17,Sun,1/8/2023,18:00 (20:00),Sampdoria,,,,Napoli,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
17,Sun,1/8/2023,20:45 (22:45),Milan,,,,Roma,,Stadio Giuseppe Meazza,,Head-to-Head,
17,Mon,1/9/2023,18:30 (20:30),Hellas Verona,,,,Cremonese,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,
17,Mon,1/9/2023,20:45 (22:45),Bologna,,,,Atalanta,,Stadio Renato Dall'Ara,,Head-to-Head,
,,,,,,,,,,,,,
18,Fri,1/13/2023,20:45 (22:45),Napoli,,,,Juventus,,Stadio Diego Armando Maradona,,Head-to-Head,
18,Sat,1/14/2023,15:00 (17:00),Cremonese,,,,Monza,,Stadio Giovanni Zini,,Head-to-Head,
18,Sat,1/14/2023,18:00 (20:00),Lecce,,,,Milan,,Stadio Comunale Via Del Mare,,Head-to-Head,
18,Sat,1/14/2023,20:45 (22:45),Inter,,,,Hellas Verona,,Stadio Giuseppe Meazza,,Head-to-Head,
18,Sun,1/15/2023,12:30 (14:30),Sassuolo,,,,Lazio,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
18,Sun,1/15/2023,15:00 (17:00),Udinese,,,,Bologna,,Dacia Arena,,Head-to-Head,
18,Sun,1/15/2023,15:00 (17:00),Torino,,,,Spezia,,Stadio Olimpico di Torino,,Head-to-Head,
18,Sun,1/15/2023,18:00 (20:00),Atalanta,,,,Salernitana,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,
18,Sun,1/15/2023,20:45 (22:45),Roma,,,,Fiorentina,,Stadio Olimpico,,Head-to-Head,
