Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 16,,Wed,2/22/2023,21:00 (23:00),RB Leipzig de,,,,eng Manchester City,,Red Bull Arena,,Head-to-Head,Leg 1 of 2
Round of 16,,Wed,2/22/2023,21:00 (23:00),Inter it,,,,pt Porto,,Stadio Giuseppe Meazza,,Head-to-Head,Leg 1 of 2
Round of 16,,Tue,3/7/2023,20:00 (23:00),Chelsea eng,,,,de Dortmund,,Stamford Bridge,,Head-to-Head,Leg 2 of 2
Round of 16,,Tue,3/7/2023,20:00 (23:00),Benfica pt,,,,be Club Brugge,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,3/8/2023,20:00 (23:00),Tottenham eng,,,,it Milan,,Tottenham Hotspur Stadium,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,3/8/2023,21:00 (23:00),Bayern Munich de,,,,fr Paris S-G,,Allianz Arena,,Head-to-Head,Leg 2 of 2
Round of 16,,Tue,3/14/2023,20:00 (23:00),Porto pt,,,,it Inter,,Estádio Do Dragão,,Head-to-Head,Leg 2 of 2
Round of 16,,Tue,3/14/2023,20:00 (23:00),Manchester City eng,,,,de RB Leipzig,,Etihad Stadium,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,3/15/2023,21:00 (23:00),Napoli it,,,,de Eint Frankfurt,,Stadio Diego Armando Maradona,,Head-to-Head,Leg 2 of 2
Round of 16,,Wed,3/15/2023,21:00 (23:00),Real Madrid es,,,,eng Liverpool,,Estadio Santiago Bernabéu,,Head-to-Head,Leg 2 of 2
