,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
121,Quarter-finals,,Sat,8/15/2020,20:00 (22:00),Manchester City eng,2.5,1–3,1.0,fr Lyon,,Estádio José Alvalade (Neutral Site),Danny Makkelie,Match Report,,1,3,2
122,Semi-finals,,Tue,8/18/2020,20:00 (22:00),RB Leipzig de,1.0,0–3,3.2,fr Paris S-G,,Estádio do Sport Lisboa e Benfica,Björn Kuipers,Match Report,,0,3,2
123,Semi-finals,,Wed,8/19/2020,20:00 (22:00),Lyon fr,1.8,0–3,3.2,de Bayern Munich,,Estádio José Alvalade,Antonio Matéu Lahoz,Match Report,,0,3,2
124,Final,,Sun,8/23/2020,20:00 (22:00),Paris S-G fr,1.1,0–1,1.5,de Bayern Munich,,Estádio do Sport Lisboa e Benfica,Daniele Orsato,Match Report,,0,1,2
0,Group stage,1.0,Tue,10/20/2020,19:55,Zenit ru,2.2,1–2,2.0,be Club Brugge,"16,682",Gazprom Arena,Benoît Bastien,Match Report,,1,2,2
1,Group stage,1.0,Tue,10/20/2020,19:55,Dynamo Kyiv ua,0.5,0–2,2.0,it Juventus,"14,850",NSK Olimpijs'kyj,Ovidiu Hațegan,Match Report,,0,2,2
2,Group stage,1.0,Tue,10/20/2020,20:00 (22:00),Chelsea eng,0.4,0–0,0.2,es Sevilla,,Stamford Bridge,Davide Massa,Match Report,,0,0,0
3,Group stage,1.0,Tue,10/20/2020,21:00 (22:00),Barcelona es,2.8,5–1,1.3,hu Ferencváros,,Camp Nou,Sandro Schärer,Match Report,,5,1,1
4,Group stage,1.0,Tue,10/20/2020,21:00 (22:00),RB Leipzig de,1.0,2–0,0.6,tr Başakşehir,999,Red Bull Arena,Jesús Gil,Match Report,,2,0,1
5,Group stage,1.0,Tue,10/20/2020,21:00 (22:00),Rennes fr,2.7,1–1,1.4,ru Krasnodar,"4,973",Roazhon Park,Anastasios Sidiropoulos,Match Report,,1,1,0
6,Group stage,1.0,Tue,10/20/2020,21:00 (22:00),Paris S-G fr,1.4,1–2,1.4,eng Manchester Utd,,Parc des Princes,Antonio Matéu Lahoz,Match Report,,1,2,2
7,Group stage,1.0,Tue,10/20/2020,21:00 (22:00),Lazio it,1.7,3–1,1.3,de Dortmund,"1,000",Stadio Olimpico,Clément Turpin,Match Report,,3,1,1
8,Group stage,1.0,Wed,10/21/2020,18:55 (19:55),Real Madrid es,1.0,2–3,1.7,ua Shakhtar,,Estadio Alfredo Di Stéfano,Srđan Jovanović,Match Report,,2,3,2
