Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,14,Sat,11/24/2018,20:00 (22:00),Caen,0.8,0–1,0.8,Monaco,"15,013",Stade Michel d'Ornano,Thomas Léonard,Match Report,
Regular season,14,Sat,11/24/2018,20:00 (22:00),Strasbourg,0.9,0–1,1,Nîmes,"25,128",Stade de la Meinau,Benoît Millot,Match Report,
Regular season,14,Sat,11/24/2018,20:00 (22:00),Reims,0.9,2–1,1.4,Guingamp,"10,028",Stade Auguste-Delaune II,Johan Hamel,Match Report,
Regular season,14,Sun,11/25/2018,15:00 (17:00),Montpellier,2.5,2–2,1.5,Rennes,"10,761",Stade de la Mosson,Jérôme Brisard,Match Report,
Regular season,14,Sun,11/25/2018,17:00 (19:00),Nice,1.1,2–0,0.4,Lille,"18,211",Stade de Nice,Franck Schneider,Match Report,
Regular season,14,Sun,11/25/2018,21:00 (23:00),Amiens,1.1,1–3,2.1,Marseille,"11,932",Stade de la Licorne,Jérôme Miguelgorry,Match Report,
,,,,,,,,,,,,,,
Regular season,15,Fri,11/30/2018,20:45 (22:45),Saint-Étienne,2.4,3–0,0.3,Nantes,"21,884",Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
Regular season,15,Sat,12/1/2018,17:00 (19:00),Lille,1,2–2,2.9,Lyon,"38,755",Stade Pierre-Mauroy,Benoît Bastien,Match Report,
Regular season,15,Sat,12/1/2018,20:00 (22:00),Angers,1.4,1–1,0.9,Caen,"8,523",Stade Raymond Kopa,Willy Delajod,Match Report,
Regular season,15,Sat,12/1/2018,20:00 (22:00),Nîmes,1.8,3–0,0.9,Amiens,"12,159",Stade des Costières,Karim Abed,Match Report,
Regular season,15,Sat,12/1/2018,20:00 (22:00),Monaco,0.7,1–2,1.6,Montpellier,"6,725",Stade Louis II.,Olivier Thual,Match Report,
Regular season,15,Sat,12/1/2018,20:00 (22:00),Guingamp,0.9,0–0,0.6,Nice,"12,671",Stade du Roudourou,Ruddy Buquet,Match Report,
Regular season,15,Sun,12/2/2018,15:00 (17:00),Toulouse,0.8,2–2,1.8,Dijon,"10,279",Stadium Municipal,Jérôme Miguelgorry,Match Report,
Regular season,15,Sun,12/2/2018,17:00 (19:00),Rennes,0.7,1–4,3.2,Strasbourg,"19,867",Roazhon Park,Eric Wattellier,Match Report,
