Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,11/5/2022,14:00 (16:00),Getafe,0.6,0–0,1.4,Cádiz,"10,554",Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
13,Sat,11/5/2022,16:15 (18:15),Valladolid,1.9,2–1,0.2,Elche,"20,176",Estadio Municipal José Zorrilla,Ricardo de Burgos,Match Report,
13,Sat,11/5/2022,18:30 (20:30),Celta Vigo,0.7,1–2,0.4,Osasuna,"14,209",Estadio de Balaídos,Jorge Figueroa,Match Report,
13,Sat,11/5/2022,21:00 (23:00),Barcelona,4,2–0,0.5,Almería,"92,605",Camp Nou,Pablo González,Match Report,
13,Sun,11/6/2022,14:00 (16:00),Atlético Madrid,1.9,1–1,0.7,Espanyol,"50,007",Estadio Cívitas Metropolitano,Juan Pulido,Match Report,
13,Sun,11/6/2022,16:15 (18:15),Real Sociedad,1.1,1–1,0.9,Valencia,"32,773",Reale Arena,José Luis Munuera,Match Report,
13,Sun,11/6/2022,18:30 (20:30),Villarreal,0.5,0–2,0.4,Mallorca,"16,603",Estadio Ciudad de Valencia,Alejandro Muñíz,Match Report,
13,Sun,11/6/2022,21:00 (23:00),Betis,1,1–1,1.5,Sevilla,"54,034",Estadio Benito Villamarín,José Sánchez,Match Report,
13,Mon,11/7/2022,21:00 (23:00),Rayo Vallecano,1.5,3–2,2.4,Real Madrid,"14,216",Estadio del Rayo Vallecano,Juan Martínez,Match Report,
,,,,,,,,,,,,,
14,Tue,11/8/2022,19:00 (21:00),Elche,0.6,1–2,2.3,Girona,"17,339",Estadio Manuel Martínez Valero,Pablo González,Match Report,
14,Tue,11/8/2022,20:00 (22:00),Athletic Club,2.1,3–0,0.5,Valladolid,"40,072",San Mamés,Isidro Díaz de Mera,Match Report,
14,Tue,11/8/2022,21:30 (23:30),Osasuna,1,1–2,0.8,Barcelona,"21,603",Estadio El Sadar,Jesús Gil,Match Report,
14,Wed,11/9/2022,19:00 (21:00),Almería,0.5,1–0,0.4,Getafe,"11,454",Power Horse Stadium,Alejandro Muñíz,Match Report,
14,Wed,11/9/2022,19:00 (21:00),Sevilla,0.6,1–2,1.7,Real Sociedad,"34,814",Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
14,Wed,11/9/2022,20:00 (22:00),Espanyol,1.1,0–1,0.7,Villarreal,"17,400",RCDE Stadium,Javier Villanueva,Match Report,
14,Wed,11/9/2022,21:30 (23:30),Mallorca,1.3,1–0,1.3,Atlético Madrid,"14,475",Iberostar Estadi,Mario Melero,Match Report,
14,Thu,11/10/2022,19:00 (21:00),Rayo Vallecano,0.4,0–0,0.9,Celta Vigo,"12,419",Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
14,Thu,11/10/2022,20:00 (22:00),Valencia,2,3–0,0.2,Betis,"39,876",Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
14,Thu,11/10/2022,21:30 (23:30),Real Madrid,2,2–1,0.9,Cádiz,"53,190",Estadio Santiago Bernabéu,César Soto,Match Report,
,,,,,,,,,,,,,
15,Thu,12/29/2022,17:00 (19:00),Girona,2.3,2–2,1,Rayo Vallecano,"11,451",Estadi Municipal de Montilivi,Jorge Figueroa,Match Report,
15,Thu,12/29/2022,19:15 (21:15),Betis,0.5,0–0,0.4,Athletic Club,"53,565",Estadio Benito Villamarín,Alejandro Hernández,Match Report,
15,Thu,12/29/2022,21:30 (23:30),Atlético Madrid,1.7,2–0,0.4,Elche,"48,119",Estadio Cívitas Metropolitano,Guillermo Cuadra,Match Report,
15,Fri,12/30/2022,17:00 (19:00),Getafe,1.2,2–0,0.6,Mallorca,"9,755",Coliseum Alfonso Pérez,Alberola Rojas,Match Report,
15,Fri,12/30/2022,19:15 (21:15),Cádiz,1.3,1–1,2.3,Almería,"17,345",Estadio Nuevo Mirandilla,Juan Martínez,Match Report,
15,Fri,12/30/2022,19:15 (21:15),Celta Vigo,2,1–1,0.7,Sevilla,"13,653",Estadio de Balaídos,Ricardo de Burgos,Match Report,
15,Fri,12/30/2022,21:30 (23:30),Valladolid,0.6,0–2,2.3,Real Madrid,"25,950",Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
15,Sat,12/31/2022,14:00 (16:00),Barcelona,2.2,1–1,0.9,Espanyol,"88,095",Camp Nou,Antonio Matéu,Match Report,
15,Sat,12/31/2022,16:15 (18:15),Real Sociedad,1.4,2–0,0.4,Osasuna,"34,847",Reale Arena,Valentín Pizarro,Match Report,
15,Sat,12/31/2022,16:15 (18:15),Villarreal,2.5,2–1,1.4,Valencia,"19,247",Estadio Ciudad de Valencia,José Sánchez,Match Report,
,,,,,,,,,,,,,
16,Fri,1/6/2023,18:30 (20:30),Elche,,,,Celta Vigo,,Estadio Manuel Martínez Valero,,Head-to-Head,
16,Fri,1/6/2023,21:00 (23:00),Valencia,,,,Cádiz,,Estadio de Mestalla,,Head-to-Head,
16,Sat,1/7/2023,16:15 (18:15),Villarreal,,,,Real Madrid,,Estadio de la Cerámica,,Head-to-Head,
16,Sat,1/7/2023,18:30 (20:30),Mallorca,,,,Valladolid,,Iberostar Estadi,,Head-to-Head,
16,Sat,1/7/2023,21:00 (23:00),Espanyol,,,,Girona,,RCDE Stadium,,Head-to-Head,
