,Unnamed: 0,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff
1060,1060,2.200000000000001,3.6000000000000005,1.0999999999999996,1.2000000000000002,1.0,1.0,1.5000000000000002,-1.200000000000001,-2.0,-1.0999999999999996,-1.2999999999999998,11.799999999999995,4.6000000000000085,-0.3999999999999999
1061,1061,-2.1,-2.9000000000000004,-2.0,-1.0999999999999996,2.799999999999997,1.2999999999999972,-0.6000000000000001,13.9,8.899999999999999,-2.8999999999999995,5.6,42.400000000000006,16.900000000000006,2.4
1062,1062,-1.5,1.700000000000001,-1.8999999999999984,0.0,-5.799999999999997,-3.0,0.6000000000000001,-7.0,-4.6000000000000005,0.0,-1.5,-30.0,-13.699999999999989,-1.4
1063,1063,1.1999999999999993,3.1000000000000005,0.6000000000000014,1.4000000000000004,2.0,1.2999999999999972,1.7,9.5,6.200000000000001,-2.1,3.6,18.599999999999994,9.299999999999995,1.2999999999999998
1064,1064,-1.5,-1.5999999999999996,-1.6999999999999993,-1.2000000000000002,-4.599999999999994,-0.7000000000000028,0.0999999999999998,4.699999999999999,3.5,-0.9000000000000004,3.2,28.599999999999994,12.5,-0.0999999999999998
1065,1065,-0.5999999999999996,0.6999999999999993,1.6999999999999993,0.9000000000000004,-3.5999999999999943,-0.7999999999999972,-0.1,-1.5,-0.6999999999999993,2.9000000000000004,-1.0,-9.599999999999994,-5.0,-0.3
1066,1066,-4.6,-3.5,0.2999999999999989,-2.6,-4.0,-2.299999999999997,-0.3,-2.3000000000000007,-2.1,3.5,1.0000000000000004,2.0,-1.0999999999999943,-0.4000000000000001
1067,1067,3.700000000000001,2.8000000000000007,-0.5999999999999996,-0.0999999999999996,-1.4000000000000057,-0.2999999999999971,1.5000000000000002,14.1,10.4,0.8000000000000007,4.800000000000001,35.400000000000006,14.900000000000006,1.3000000000000005
1068,1068,13.7,8.6,-1.6999999999999993,5.5,42.400000000000006,16.5,2.3,-3.0,-2.1999999999999997,3.1,-1.6999999999999995,3.4000000000000057,2.0999999999999943,-0.1999999999999999
1069,1069,-6.199999999999999,-5.300000000000001,-1.4000000000000004,-3.9,-23.8,-9.799999999999995,-0.5,-2.1999999999999997,-2.7,-1.200000000000001,-1.1,-12.599999999999994,-5.0,-1.1
