Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,,,,
Round of 32,,Thu,2/20/2020,17:55 (20:55),Sporting CP pt,1.9,3–1,0.9,tr Başakşehir,"27,392",Estádio José Alvalade,Anthony Taylor,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,18:55 (20:55),Eint Frankfurt de,3,4–1,1.4,at RB Salzburg,"47,000",Deutsche Bank Park,Ali Palabıyık,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,18:55 (20:55),Getafe es,0.8,2–0,0.2,nl Ajax,"14,039",Coliseum Alfonso Pérez,Ruddy Buquet,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,18:55 (20:55),FC Copenhagen dk,1.3,1–1,2,sct Celtic,"34,346",Telia Parken,Sergey Karasev,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,18:55 (20:55),Club Brugge be,1.4,1–1,1.2,eng Manchester Utd,"27,006",Jan Breydelstadion,Aliaksei Kulbakou,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,19:55 (20:55),Shakhtar ua,1.5,2–1,1.2,pt Benfica,"24,429",NTB Metalist,Bobby Madden,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,19:55 (20:55),CFR Cluj ro,1.2,1–1,1.3,es Sevilla,"14,820",Stadionul Dr. Constantin Rădulescu,Deniz Aytekin,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,19:55 (20:55),Ludogorets bg,0,0–2,1.7,it Inter,"10,024",Huvepharma Arena,Carlos del Cerro,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,20:00 (23:00),Wolves eng,1.8,4–0,1,es Espanyol,"30,435",Molineux Stadium,Tobias Stieler,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,20:00 (23:00),Rangers sct,1.4,3–2,2.1,pt Braga,"49,378",Ibrox Stadium,Javier Estrada,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,21:00 (23:00),AZ Alkmaar nl,1.4,1–1,1.2,at LASK,"12,526",Cars Jeans Stadion,Mattias Gestranius,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,21:00 (23:00),Roma it,1.1,1–0,1.1,be Gent,"28,248",Stadio Olimpico,Georgi Kabakov,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,21:00 (23:00),Wolfsburg de,1.3,2–1,1,se Malmö,"13,801",Volkswagen Arena,Gediminas Mažeika,Match Report,Leg 1 of 2
Round of 32,,Thu,2/20/2020,21:00 (23:00),Leverkusen de,2.6,2–1,1.3,pt Porto,"26,839",BayArena,Slavko Vinčič,Match Report,Leg 1 of 2
