Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Round of 16,,Thu,3/10/2022,18:45 (20:45),Sevilla es,1.4,1–0,1.1,eng West Ham,"34,728",Estadio Ramón Sánchez Pizjuán,Sandro Schärer,Match Report,Leg 1 of 2
Round of 16,,Thu,3/10/2022,20:00 (23:00),Braga pt,1.5,2–0,1.5,fr Monaco,"10,228",Estádio Municipal de Braga,Felix Zwayer,Match Report,Leg 1 of 2
Round of 16,,Thu,3/10/2022,20:00 (23:00),Rangers sct,1.8,3–0,2.2,rs Red Star,"48,589",Ibrox Stadium,Serdar Gözübüyük,Match Report,Leg 1 of 2
Round of 16,,Thu,3/10/2022,21:00 (23:00),Barcelona es,1.6,0–0,0.2,tr Galatasaray,"61,740",Camp Nou,Benoît Bastien,Match Report,Leg 1 of 2
Round of 16,,Thu,3/10/2022,21:00 (23:00),Atalanta it,1.7,3–2,0.5,de Leverkusen,"13,134",Stadio Atleti Azzurri d'Italia,Srđan Jovanović,Match Report,Leg 1 of 2
Round of 16,,Thu,3/17/2022,,Spartak Moscow ru,,,,de RB Leipzig,,,,Match Report,Leg 2 of 2; RB Leipzig won; Match Cancelled
Round of 16,,Thu,3/17/2022,18:45 (20:45),Leverkusen de,1.5,0–1,1.2,it Atalanta,"19,871",BayArena,François Letexier,Match Report,Leg 2 of 2; Atalanta won
Round of 16,,Thu,3/17/2022,18:45 (20:45),Red Star rs,2.4,2–1,1,sct Rangers,"47,024",Stadion Rajko Mitić,István Kovács,Match Report,Leg 2 of 2; Rangers won
Round of 16,,Thu,3/17/2022,18:45 (20:45),Monaco fr,1.4,1–1,0.9,pt Braga,"3,892",Stade Louis II.,Andreas Ekberg,Match Report,Leg 2 of 2; Braga won
Round of 16,,Thu,3/17/2022,20:00 (23:00),West Ham eng,2.4,2–0,1.1,es Sevilla,"59,981",London Stadium,Clément Turpin,Match Report,Leg 2 of 2; West Ham won; Required Extra Time
Round of 16,,Thu,3/17/2022,20:45,Galatasaray tr,0.7,1–2,2.4,es Barcelona,"50,110",Ali Sami Yen Stadyumu,Daniele Orsato,Match Report,Leg 2 of 2; Barcelona won
Round of 16,,Thu,3/17/2022,21:00 (23:00),Lyon fr,2.4,1–1,1,pt Porto,"54,551",Groupama Stadium,Ovidiu Hațegan,Match Report,Leg 2 of 2; Lyon won
Round of 16,,Thu,3/17/2022,21:00 (23:00),Eint Frankfurt de,1.5,1–1,2.2,es Betis,"25,000",Deutsche Bank Park,Michael Oliver,Match Report,Leg 2 of 2; Eint Frankfurt won; Required Extra Time
Quarter-finals,,Thu,4/7/2022,18:45 (19:45),RB Leipzig de,2.5,1–1,1.9,it Atalanta,"36,029",Red Bull Arena,Michael Oliver,Match Report,Leg 1 of 2
